case_number,unit_ref,unit_build_year,case_status,case_type,case_sub_type,case_create_date
Case20780,Unit6255,2014,Active,ASB,,22/10/2020 11:32
Case20781,Unit2959,1900,Resolved,Query,,22/10/2020 11:40
Case20782,Unit2754,2011,Resolved,Direct Maintenance,Complex Repairs,22/10/2020 11:41
Case20783,Unit7718,1962,Resolved,No Access,Gas,12/07/2019 06:00
Case20784,Unit83,1991,Resolved,Query,,22/10/2020 11:45
Case20785,Unit1492,1992,Resolved,Direct Maintenance,Further Information Required,22/10/2020 11:45
Case20786,Unit2164,1899,Resolved,Complaints,,22/10/2020 11:46
Case20787,Unit9267,2008,Resolved,Service Charges,Calculation/Apportionment Query,22/10/2020 11:56
Case20788,Unit83,1991,Resolved,Direct Maintenance,Follow on,22/10/2020 12:09
Case20789,Unit4147,2006,Resolved,Query,,22/10/2020 12:20
Case20790,Unit5760,1891,Resolved,No Access,Gas,12/07/2019 06:00
Case20791,Unit4147,2006,Resolved,Complaints,,22/10/2020 12:33
Case20792,Unit5667,1960,Resolved,Complaints,,22/10/2020 12:36
Case20793,Unit1821,2012,Resolved,Query,,22/10/2020 12:42
Case20794,Unit610,1890,Active,Direct Maintenance,Damp & Mould,22/10/2020 12:42
Case20795,Unit610,1890,Resolved,Query,,22/10/2020 12:46
Case20796,Unit7758,1955,Resolved,No Access,Gas,12/07/2019 06:00
Case20797,Unit5505,1899,Resolved,Query,,22/10/2020 12:53
Case20798,Unit911,1900,Active,Direct Maintenance,Damp & Mould,22/10/2020 13:01
Case20799,Unit4267,1900,Resolved,No Access,Gas,12/07/2019 06:00
Case20800,Unit7505,1955,Resolved,Income,Refund Enquiry,22/10/2020 13:08
Case20801,Unit5644,1989,Resolved,Income,Account Enquiry,22/10/2020 13:12
Case20802,Unit3780,2012,Resolved,Query,,22/10/2020 13:17
Case20803,Unit239,2005,Active,Direct Maintenance,Damp & Mould,22/10/2020 13:26
Case20804,Unit2411,2008,Resolved,No Access,Gas,12/07/2019 06:00
Case20805,Unit3825,1997,Resolved,Query,,22/10/2020 13:46
Case20806,Unit7072,1890,Resolved,Query,,22/10/2020 13:52
Case20807,Unit141,1996,Resolved,Query,,22/10/2020 14:02
Case20808,Unit4982,1992,Resolved,Service Charges,Calculation/Apportionment Query,22/10/2020 14:04
Case20809,Unit1775,1966,Resolved,Direct Maintenance,Supervisor Inspection,22/10/2020 14:04
Case20810,Unit6949,,Resolved,ASB,,22/10/2020 14:09
Case20811,Unit3797,2002,Resolved,Service Charges,Invoice/Breakdown Request,22/10/2020 14:11
Case20812,Unit8871,2010,Resolved,No Access,Gas,12/07/2019 06:00
Case20813,Unit1850,1899,Resolved,Service Charges,Invoice/Breakdown Request,22/10/2020 14:21
Case20814,Unit9395,1900,Resolved,Query,,22/10/2020 14:35
Case20815,Unit3288,1953,Resolved,Direct Maintenance,Further Information Required,22/10/2020 14:36
Case20816,Unit846,1974,Active,Direct Maintenance,Damp & Mould,22/10/2020 14:39
Case20817,Unit4849,2016,Resolved,Income,Refund Enquiry,22/10/2020 14:41
Case20818,Unit2212,2010,Resolved,Service Charges,Calculation/Apportionment Query,22/10/2020 14:48
Case20819,Unit3411,2018,Resolved,Complaints,,22/10/2020 14:50
Case20820,Unit2455,1988,Resolved,Direct Maintenance,Further Information Required,22/10/2020 14:59
Case20821,Unit1663,2011,Resolved,Direct Maintenance,Complex Repairs,22/10/2020 15:03
Case20822,Unit7959,1992,Resolved,Income,Refund Enquiry,12/07/2019 07:04
Case20823,Unit1441,1930,Resolved,Query,,22/10/2020 15:03
Case20824,Unit1505,1991,Resolved,Direct Maintenance,Supervisor Inspection,22/10/2020 15:06
Case20825,Unit634,1899,Active,Direct Maintenance,Damp & Mould,22/10/2020 15:08
Case20826,Unit7492,1992,Resolved,Income,Account Enquiry,22/10/2020 15:14
Case20827,Unit4261,,Resolved,Service Charges,Calculation/Apportionment Query,22/10/2020 15:15
Case20828,Unit7137,1992,Resolved,Service Charges,Calculation/Apportionment Query,22/10/2020 15:19
Case20829,Unit6478,2016,Resolved,Income,Refund Enquiry,22/10/2020 15:22
Case20830,Unit5614,2018,Resolved,Service Charges,Calculation/Apportionment Query,22/10/2020 15:27
Case20831,Unit2797,1910,Active,Rehousing,Permanent,22/10/2020 15:28
Case20832,Unit853,1982,Resolved,ASB,,22/10/2020 15:33
Case20833,Unit4017,2014,Resolved,Income,Refund Enquiry,22/10/2020 15:35
Case20834,Unit9565,2000,Resolved,Service Charges,Calculation/Apportionment Query,22/10/2020 15:36
Case20835,Unit6209,2009,Resolved,Service Charges,Calculation/Apportionment Query,22/10/2020 15:40
Case20836,Unit674,1940,Active,Direct Maintenance,Damp & Mould,22/10/2020 15:40
Case20837,Unit4114,2004,Resolved,Query,,22/10/2020 15:41
Case20838,Unit7995,2006,Resolved,Complaints,,22/10/2020 15:56
Case20839,Unit870,1825,Resolved,Query,,22/10/2020 16:10
Case20840,Unit3417,1930,Resolved,Service Charges,Invoice/Breakdown Request,22/10/2020 16:11
Case20841,Unit9792,1890,Resolved,Income,Refund Enquiry,12/07/2019 07:14
Case20842,Unit870,1825,Resolved,Query,,22/10/2020 16:34
Case20843,Unit3651,1935,Active,Tenancy Visits,,22/10/2020 16:41
Case20844,Unit6547,1890,Resolved,Query,,22/10/2020 19:07
Case20845,Unit1663,2011,Resolved,Query,,22/10/2020 19:13
Case20846,Unit1663,2011,Resolved,Query,,22/10/2020 19:22
Case20847,Unit1944,1899,Resolved,Query,,22/10/2020 19:31
Case20848,Unit1505,1991,Active,Direct Maintenance,Supervisor Inspection,22/10/2020 22:04
Case20849,Unit2356,2009,Resolved,Complaints,,23/10/2020 07:08
Case20850,Unit8044,1899,Active,Query,,23/10/2020 07:21
Case20851,Unit497,1970,Active,Direct Maintenance,Damp & Mould,23/10/2020 07:39
Case20852,Unit5885,2017,Resolved,Income,Refund Enquiry,12/07/2019 07:23
Case20853,Unit2235,1960,Resolved,Query,,23/10/2020 07:57
Case20854,Unit672,1991,Active,Query,,23/10/2020 08:12
Case20855,Unit6696,2003,Resolved,Income,Account Enquiry,23/10/2020 08:16
Case20856,Unit796,1953,Resolved,Direct Maintenance,Complex Repairs,23/10/2020 08:21
Case20857,Unit7706,1964,Resolved,Query,,23/10/2020 08:23
Case20858,Unit8533,1990,Resolved,Direct Maintenance,Follow on,23/10/2020 08:25
Case20859,Unit6593,2004,Resolved,Income,Account Enquiry,12/07/2019 07:27
Case20860,Unit9791,2013,Resolved,Income,Account Enquiry,23/10/2020 08:31
Case20861,Unit7580,2005,Resolved,Income,Refund Enquiry,12/07/2019 07:28
Case20862,Unit929,1952,Resolved,Query,,23/10/2020 08:34
Case20863,Unit66,2014,Resolved,Query,,23/10/2020 09:01
Case20864,Unit5874,1951,Resolved,MP/Councillor Enquiry,Lettings,23/10/2020 09:05
Case20865,Unit6432,1998,Resolved,Query,,12/07/2019 07:33
Case20866,Unit8384,1993,Resolved,Income,Payment Enquiry,23/10/2020 09:14
Case20867,Unit9235,2010,Resolved,Income,Account Enquiry,23/10/2020 09:20
Case20868,Unit1684,1850,Resolved,Query,,23/10/2020 09:24
Case20869,Unit2731,1995,Resolved,Income,Account Enquiry,23/10/2020 09:25
Case20870,Unit2003,2008,Active,Query,,23/10/2020 09:26
Case20871,Unit4686,1869,Resolved,Income,Account Enquiry,23/10/2020 09:26
Case20872,Unit6570,1976,Resolved,ASB,,23/10/2020 09:34
Case20873,Unit6217,1957,Resolved,Query,,23/10/2020 09:35
Case20874,Unit1501,2000,Resolved,Query,,23/10/2020 09:36
Case20875,Unit3620,2013,Resolved,Income,Refund Enquiry,23/10/2020 09:38
Case20876,Unit7488,1935,Resolved,Complaints,,12/07/2019 07:39
Case20877,Unit373,2013,Resolved,Query,,23/10/2020 09:40
Case20878,Unit1859,2005,Resolved,Service Charges,Calculation/Apportionment Query,23/10/2020 09:49
Case20879,Unit8388,2014,Resolved,Income,Refund Enquiry,23/10/2020 09:50
Case20880,Unit1618,1890,Resolved,Query,,23/10/2020 09:51
Case20881,Unit3333,1890,Resolved,Query,,23/10/2020 10:07
Case20882,Unit2652,2011,Resolved,Income,Account Enquiry,23/10/2020 10:13
Case20883,Unit4134,2018,Resolved,Query,,23/10/2020 10:14
Case20884,Unit3390,1935,Resolved,Income,Account Enquiry,23/10/2020 10:19
Case20885,Unit3102,1991,Resolved,Query,,23/10/2020 10:24
Case20886,Unit2237,1993,Resolved,Service Charges,Calculation/Apportionment Query,23/10/2020 10:27
Case20887,Unit1555,2016,Resolved,Income,Refund Enquiry,23/10/2020 10:28
Case20888,Unit1187,2015,Resolved,Query,,23/10/2020 10:32
Case20889,Unit9572,1992,Resolved,Income,Refund Enquiry,23/10/2020 10:36
Case20890,Unit1758,1993,Resolved,Query,,23/10/2020 10:38
Case20891,Unit4209,1979,Resolved,Query,,23/10/2020 10:40
Case20892,Unit3578,1950,Resolved,Query,,23/10/2020 10:41
Case20893,Unit9869,2019,Resolved,Home Ownership,Landlord Enquiry,23/10/2020 10:43
Case20894,Unit8104,1948,Resolved,Query,,23/10/2020 10:53
Case20895,Unit6583,2014,Resolved,Income,Refund Enquiry,23/10/2020 10:58
Case20896,Unit5726,2007,Resolved,Service Charges,Calculation/Apportionment Query,23/10/2020 11:03
Case20897,Unit485,1974,Active,Direct Maintenance,Damp & Mould,23/10/2020 11:04
Case20898,Unit9979,2015,Active,Home Ownership,Landlord Enquiry,23/10/2020 11:04
Case20899,Unit6573,1890,Resolved,Service Charges,Calculation/Apportionment Query,23/10/2020 11:07
Case20900,Unit5614,2018,Resolved,Income,Account Enquiry,23/10/2020 11:10
Case20901,Unit510,1970,Resolved,Query,,23/10/2020 11:15
Case20902,Unit2389,1910,Active,Rehousing,Permanent,23/10/2020 11:27
Case20903,Unit8763,2008,Resolved,Query,,23/10/2020 11:39
Case20904,Unit879,1890,Resolved,Query,,23/10/2020 11:56
Case20905,Unit582,1900,Active,Disrepair,Legal Disrepair,23/10/2020 11:59
Case20906,Unit4934,2005,Resolved,Query,,23/10/2020 12:12
Case20907,Unit1782,1980,Resolved,Query,,23/10/2020 12:23
Case20908,Unit8901,1996,Resolved,Death of Tenant,,23/10/2020 12:27
Case20909,Unit6706,2016,Resolved,Query,,23/10/2020 12:38
Case20910,Unit7039,2010,Resolved,Query,,23/10/2020 12:43
Case20911,Unit2258,2018,Resolved,Income,Refund Enquiry,23/10/2020 13:06
Case20912,Unit3726,1990,Resolved,Query,,23/10/2020 13:08
Case20913,Unit3973,1997,Resolved,Query,,23/10/2020 13:10
Case20914,Unit491,2005,Active,Direct Maintenance,Damp & Mould,23/10/2020 13:14
Case20915,Unit6492,1993,Resolved,Query,,23/10/2020 13:18
Case20916,Unit759,1997,Active,Direct Maintenance,Damp & Mould,23/10/2020 13:20
Case20917,Unit8766,1976,Active,Query,,23/10/2020 13:22
Case20918,Unit3657,1960,Resolved,Direct Maintenance,Follow on,23/10/2020 13:34
Case20919,Unit7322,2011,Resolved,Service Charges,Calculation/Apportionment Query,23/10/2020 13:36
Case20920,Unit507,1900,Active,Direct Maintenance,Damp & Mould,23/10/2020 13:37
Case20921,Unit4870,2017,Resolved,Income,Refund Enquiry,23/10/2020 13:41
Case20922,Unit3495,1994,Resolved,Query,,12/07/2019 08:21
Case20923,Unit4498,1961,Resolved,Income,Payment Enquiry,23/10/2020 13:52
Case20924,Unit5540,2014,Resolved,Income,Account Enquiry,23/10/2020 14:03
Case20925,Unit2973,2018,Resolved,Income,Refund Enquiry,23/10/2020 14:07
Case20926,Unit6874,2009,Resolved,Query,,23/10/2020 14:10
Case20927,Unit270,1890,Resolved,Query,,23/10/2020 14:22
Case20928,Unit1258,2015,Resolved,Query,,23/10/2020 14:23
Case20929,Unit6550,1890,Resolved,Income,Payment Enquiry,23/10/2020 14:29
Case20930,Unit6510,1967,Resolved,Abandonment,Abandoned,23/10/2020 14:31
Case20931,Unit803,1930,Active,Direct Maintenance,Damp & Mould,23/10/2020 14:37
Case20932,Unit6780,2008,Resolved,Service Charges,Invoice/Breakdown Request,23/10/2020 14:41
Case20933,Unit2302,2015,Resolved,Query,,23/10/2020 14:44
Case20934,Unit6780,2008,Active,Income,Account Enquiry,23/10/2020 14:44
Case20935,Unit9511,2014,Resolved,Income,Refund Enquiry,23/10/2020 14:50
Case20936,Unit3778,2007,Resolved,Query,,23/10/2020 14:50
Case20937,Unit113,2018,Active,Direct Maintenance,Damp & Mould,23/10/2020 14:53
Case20938,Unit4645,,Resolved,Service Charges,Calculation/Apportionment Query,23/10/2020 14:58
Case20939,Unit8793,2012,Resolved,Query,,23/10/2020 15:00
Case20940,Unit3869,1900,Resolved,Service Charges,Calculation/Apportionment Query,23/10/2020 15:02
Case20941,Unit636,2007,Active,Direct Maintenance,Damp & Mould,23/10/2020 15:03
Case20942,Unit9102,2014,Resolved,Query,,23/10/2020 15:17
Case20943,Unit878,1910,Resolved,Query,,23/10/2020 15:18
Case20944,Unit2137,2007,Resolved,Service Charges,Invoice/Breakdown Request,23/10/2020 15:25
Case20945,Unit2260,1996,Resolved,Direct Maintenance,Follow on,23/10/2020 15:28
Case20946,Unit8412,2016,Resolved,Service Charges,Calculation/Apportionment Query,23/10/2020 15:36
Case20947,Unit3876,1993,Resolved,Query,,23/10/2020 15:40
Case20948,Unit3549,2008,Resolved,Query,,12/07/2019 08:36
Case20949,Unit3093,1976,Resolved,Query,,23/10/2020 15:42
Case20950,Unit6924,2015,Resolved,Query,,23/10/2020 15:44
Case20951,Unit5782,1910,Resolved,Direct Maintenance,Complex Repairs,23/10/2020 15:48
Case20952,Unit2754,2011,Resolved,Direct Maintenance,Further Information Required,23/10/2020 15:49
Case20953,Unit7037,2001,Resolved,Query,,23/10/2020 16:07
Case20954,Unit4737,2015,Resolved,Query,,23/10/2020 16:10
Case20955,Unit7314,1890,Resolved,Query,,23/10/2020 16:16
Case20956,Unit7314,1890,Active,Query,,23/10/2020 16:24
Case20957,Unit5039,2012,Resolved,Direct Maintenance,Follow on,12/07/2019 08:43
Case20958,Unit1155,2009,Resolved,Income,Refund Enquiry,23/10/2020 16:51
Case20959,Unit918,2012,Active,Direct Maintenance,Damp & Mould,23/10/2020 16:55
Case20960,Unit3843,2007,Resolved,Query,,23/10/2020 18:15
Case20961,Unit3817,2016,Resolved,Query,,24/10/2020 13:27
Case20962,Unit4200,2007,Active,Complaints,,25/10/2020 09:10
Case20963,Unit5464,1890,Active,Complaints,,25/10/2020 09:27
Case20964,Unit1687,1890,Resolved,Complaints,,25/10/2020 09:56
Case20965,Unit3001,1890,Resolved,No Access,Gas,26/10/2020 07:00
Case20966,Unit3100,1890,Resolved,No Access,Gas,26/10/2020 07:00
Case20967,Unit992,1980,Resolved,Query,,12/07/2019 08:44
Case20968,Unit7851,1899,Resolved,No Access,Gas,26/10/2020 07:00
Case20969,Unit4804,1996,Resolved,No Access,Gas,26/10/2020 07:00
Case20970,Unit1464,2000,Resolved,No Access,Gas,26/10/2020 07:00
Case20971,Unit2499,2003,Resolved,No Access,Gas,26/10/2020 07:00
Case20972,Unit8479,1900,Resolved,No Access,Gas,26/10/2020 07:00
Case20973,Unit4460,1970,Resolved,No Access,Gas,26/10/2020 07:00
Case20974,Unit267,2003,Resolved,No Access,Gas,26/10/2020 07:00
Case20975,Unit3501,1966,Resolved,No Access,Gas,26/10/2020 07:00
Case20976,Unit2596,1966,Resolved,No Access,Gas,26/10/2020 07:00
Case20977,Unit4735,2018,Resolved,Query,,26/10/2020 08:12
Case20978,Unit1544,,Resolved,MP/Councillor Enquiry,Customer Accounts,26/10/2020 08:13
Case20979,Unit8551,2005,Resolved,Query,,26/10/2020 08:22
Case20980,Unit3101,1900,Resolved,Query,,26/10/2020 08:31
Case20981,Unit1886,1986,Resolved,Query,,12/07/2019 08:48
Case20982,Unit2172,1952,Resolved,MP/Councillor Enquiry,Leaseholder Services,26/10/2020 08:43
Case20983,Unit7184,2008,Resolved,Query,,26/10/2020 09:12
Case20984,Unit2906,2017,Resolved,Query,,12/07/2019 08:49
Case20985,Unit2254,,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 09:17
Case20986,Unit630,1890,Resolved,Query,,26/10/2020 09:23
Case20987,Unit4234,2018,Resolved,Income,Account Enquiry,26/10/2020 09:23
Case20988,Unit2274,2011,Resolved,Query,,26/10/2020 09:30
Case20989,Unit9588,2016,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 09:39
Case20990,Unit5822,2010,Active,Home Ownership,Right To Acquire,26/10/2020 09:40
Case20991,Unit6485,1910,Resolved,Income,Refund Enquiry,26/10/2020 09:43
Case20992,Unit9588,2016,Resolved,Service Charges,Invoice/Breakdown Request,26/10/2020 09:44
Case20993,Unit8510,2006,Resolved,Query,,26/10/2020 09:50
Case20994,Unit2787,1937,Resolved,Income,Account Enquiry,12/07/2019 08:51
Case20995,Unit2664,1990,Active,Rehousing,Temporary,26/10/2020 09:56
Case20996,Unit643,1993,Resolved,Query,,12/07/2019 08:53
Case20997,Unit7451,2005,Resolved,MP/Councillor Enquiry,Lettings,26/10/2020 10:06
Case20998,Unit8604,2018,Resolved,Service Charges,Invoice/Breakdown Request,26/10/2020 10:11
Case20999,Unit2105,,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 10:12
Case21000,Unit9330,1979,Resolved,Income,Refund Enquiry,26/10/2020 10:17
Case21001,Unit1551,2017,Resolved,Income,Refund Enquiry,26/10/2020 10:25
Case21002,Unit9715,1998,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 10:27
Case21003,Unit6653,2017,Resolved,Query,,26/10/2020 10:33
Case21004,Unit418,1993,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 10:36
Case21005,Unit5723,2007,Resolved,Complaints,,26/10/2020 10:39
Case21006,Unit3389,1953,Resolved,Query,,12/07/2019 08:55
Case21007,Unit1766,2005,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 10:48
Case21008,Unit467,1890,Resolved,Direct Maintenance,Further Information Required,26/10/2020 10:48
Case21009,Unit6355,2006,Resolved,Query,,26/10/2020 10:50
Case21010,Unit7215,1981,Resolved,Query,,26/10/2020 10:51
Case21011,Unit6943,1975,Resolved,Query,,26/10/2020 10:52
Case21012,Unit467,1890,Active,Direct Maintenance,Damp & Mould,26/10/2020 10:56
Case21013,Unit957,2007,Active,Direct Maintenance,Damp & Mould,26/10/2020 10:56
Case21014,Unit3078,2010,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 11:00
Case21015,Unit6794,2019,Resolved,Income,Refund Enquiry,26/10/2020 11:04
Case21016,Unit458,1850,Active,Direct Maintenance,Damp & Mould,26/10/2020 11:12
Case21017,Unit5200,1960,Resolved,Query,,26/10/2020 11:17
Case21018,Unit3820,2008,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 11:22
Case21019,Unit5903,1996,Resolved,Query,,26/10/2020 11:27
Case21020,Unit8251,,Resolved,Complaints,,26/10/2020 11:30
Case21021,Unit3012,2011,Resolved,Query,,26/10/2020 11:32
Case21022,Unit1799,1975,Resolved,Query,,26/10/2020 11:42
Case21023,Unit4468,1955,Resolved,Income,Account Enquiry,26/10/2020 11:42
Case21024,Unit7162,1998,Resolved,Query,,26/10/2020 11:44
Case21025,Unit6853,1993,Resolved,Query,,26/10/2020 11:52
Case21026,Unit1049,2010,Resolved,Query,,26/10/2020 11:52
Case21027,Unit9068,2007,Resolved,Income,Direct Debit Enquiry,26/10/2020 11:53
Case21028,Unit8026,2000,Resolved,Query,,12/07/2019 09:02
Case21029,Unit8676,2007,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 11:54
Case21030,Unit678,1920,Resolved,Query,,26/10/2020 11:58
Case21031,Unit6853,1993,Resolved,Query,,26/10/2020 12:05
Case21032,Unit3919,1920,Resolved,Direct Maintenance,Further Information Required,26/10/2020 12:06
Case21033,Unit9237,1991,Resolved,Complaints,,26/10/2020 12:08
Case21034,Unit7101,2017,Resolved,Income,Refund Enquiry,26/10/2020 12:11
Case21035,Unit9959,2019,Resolved,Income,Refund Enquiry,26/10/2020 12:18
Case21036,Unit7072,1890,Resolved,No Access,Gas,12/07/2019 09:03
Case21037,Unit8048,2000,Resolved,Direct Maintenance,Complex Repairs,26/10/2020 12:22
Case21038,Unit4664,1899,Resolved,Query,,26/10/2020 12:23
Case21039,Unit9237,1991,Resolved,Complaints,,26/10/2020 12:27
Case21040,Unit8048,2000,Resolved,Query,,26/10/2020 12:27
Case21041,Unit1691,2010,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 12:39
Case21042,Unit870,1825,Resolved,Query,,26/10/2020 12:42
Case21043,Unit1171,1900,Resolved,Direct Maintenance,Complex Repairs,26/10/2020 12:46
Case21044,Unit8316,2016,Resolved,Complaints,,26/10/2020 12:47
Case21045,Unit663,2017,Active,Direct Maintenance,Damp & Mould,26/10/2020 12:48
Case21046,Unit2341,,Active,Home Ownership,Resales,12/07/2019 09:06
Case21047,Unit5663,1989,Resolved,Query,,26/10/2020 12:57
Case21048,Unit6846,,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 12:58
Case21049,Unit7037,2001,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 13:02
Case21050,Unit6974,1900,Resolved,Query,,26/10/2020 13:03
Case21051,Unit6673,1998,Active,Home Ownership,Right To Acquire,26/10/2020 13:11
Case21052,Unit364,1900,Active,Direct Maintenance,Damp & Mould,26/10/2020 13:16
Case21053,Unit8251,,Resolved,Query,,26/10/2020 13:18
Case21054,Unit9662,2015,Resolved,Query,,26/10/2020 13:32
Case21055,Unit6867,1995,Resolved,Query,,26/10/2020 13:44
Case21056,Unit1623,2013,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 13:48
Case21057,Unit8246,1960,Resolved,Complaints,,26/10/2020 13:49
Case21058,Unit8451,1993,Resolved,Complaints,,26/10/2020 13:58
Case21059,Unit757,2007,Resolved,Income,Account Enquiry,26/10/2020 14:12
Case21060,Unit7747,1992,Resolved,Query,,26/10/2020 14:17
Case21061,Unit3709,2019,Resolved,Income,Direct Debit Enquiry,12/07/2019 09:14
Case21062,Unit1631,,Resolved,Query,,26/10/2020 14:22
Case21063,Unit5384,1989,Resolved,Query,,26/10/2020 14:23
Case21064,Unit2688,2010,Resolved,Income,Refund Enquiry,26/10/2020 14:29
Case21065,Unit5742,,Resolved,Income,Refund Enquiry,26/10/2020 14:33
Case21066,Unit839,2014,Active,Direct Maintenance,Damp & Mould,26/10/2020 14:41
Case21067,Unit8549,2017,Resolved,Query,,26/10/2020 14:46
Case21068,Unit7101,2017,Resolved,Service Charges,Invoice/Breakdown Request,26/10/2020 14:46
Case21069,Unit637,1990,Resolved,Direct Maintenance,Damp & Mould,12/07/2019 09:17
Case21070,Unit4819,2012,Resolved,Direct Maintenance,Follow on,26/10/2020 15:05
Case21071,Unit6355,2006,Resolved,Service Charges,Invoice/Breakdown Request,26/10/2020 15:05
Case21072,Unit7067,2013,Resolved,Service Charges,Invoice/Breakdown Request,26/10/2020 15:06
Case21073,Unit6426,2019,Resolved,Complaints,,26/10/2020 15:22
Case21074,Unit1258,2015,Active,Home Ownership,Landlord Enquiry,26/10/2020 15:23
Case21075,Unit9063,1980,Active,Query,,26/10/2020 15:27
Case21076,Unit1790,1899,Resolved,Income,Refund Enquiry,26/10/2020 15:31
Case21077,Unit7615,1930,Resolved,Income,Account Enquiry,26/10/2020 15:37
Case21078,Unit9356,1950,Resolved,Query,,26/10/2020 15:39
Case21079,Unit9943,1900,Resolved,Query,,26/10/2020 15:44
Case21080,Unit1059,2004,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 15:51
Case21081,Unit298,1930,Active,Direct Maintenance,Damp & Mould,26/10/2020 16:02
Case21082,Unit9243,2011,Resolved,Query,,26/10/2020 16:02
Case21083,Unit3526,1910,Resolved,Income,Refund Enquiry,26/10/2020 16:08
Case21084,Unit2132,1890,Resolved,Direct Maintenance,Complex Repairs,26/10/2020 16:10
Case21085,Unit1074,1910,Resolved,Query,,26/10/2020 16:13
Case21086,Unit8334,2019,Resolved,Query,,26/10/2020 16:17
Case21087,Unit3633,1964,Resolved,ASB,,26/10/2020 16:20
Case21088,Unit3889,1995,Resolved,Income,Refund Enquiry,26/10/2020 16:45
Case21089,Unit4117,2014,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 16:45
Case21090,Unit9002,1985,Resolved,Query,,26/10/2020 16:46
Case21091,Unit3270,1996,Resolved,Service Charges,Calculation/Apportionment Query,26/10/2020 16:54
Case21092,Unit9966,2007,Resolved,Query,,26/10/2020 16:56
Case21093,Unit9062,2000,Resolved,Query,,26/10/2020 16:57
Case21094,Unit7887,1890,Resolved,Query,,26/10/2020 17:15
Case21095,Unit5200,1960,Resolved,Service Charges,Invoice/Breakdown Request,26/10/2020 19:58
Case21096,Unit7430,1964,Resolved,Query,,27/10/2020 06:32
Case21097,Unit6603,1910,Resolved,No Access,Gas,27/10/2020 07:00
Case21098,Unit4981,1910,Resolved,No Access,Gas,27/10/2020 07:00
Case21099,Unit4573,1997,Resolved,No Access,Gas,27/10/2020 07:00
Case21100,Unit9520,1997,Resolved,No Access,Gas,27/10/2020 07:00
Case21101,Unit1113,1993,Resolved,No Access,Gas,27/10/2020 07:00
Case21102,Unit9733,1910,Resolved,No Access,Gas,27/10/2020 07:00
Case21103,Unit2325,1935,Resolved,Query,,12/07/2019 09:28
Case21104,Unit3996,1910,Resolved,No Access,Gas,27/10/2020 07:00
Case21105,Unit5210,1910,Resolved,No Access,Gas,27/10/2020 07:00
Case21106,Unit4341,1910,Resolved,No Access,Gas,27/10/2020 07:00
Case21107,Unit4980,1998,Resolved,No Access,Gas,27/10/2020 07:00
Case21108,Unit5737,1998,Resolved,No Access,Gas,27/10/2020 07:00
Case21109,Unit761,1961,Resolved,No Access,Gas,27/10/2020 07:00
Case21110,Unit7107,1977,Resolved,No Access,Gas,27/10/2020 07:00
Case21111,Unit2860,1890,Resolved,No Access,Gas,27/10/2020 07:00
Case21112,Unit2743,1890,Resolved,No Access,Gas,27/10/2020 07:00
Case21113,Unit2326,1996,Resolved,No Access,Gas,27/10/2020 07:00
Case21114,Unit6854,1900,Resolved,No Access,Gas,27/10/2020 07:00
Case21115,Unit2150,1880,Resolved,No Access,Gas,27/10/2020 07:00
Case21116,Unit5619,1993,Resolved,No Access,Gas,27/10/2020 07:00
Case21117,Unit1293,1972,Resolved,No Access,Gas,27/10/2020 07:00
Case21118,Unit7499,1995,Resolved,No Access,Gas,27/10/2020 07:00
Case21119,Unit5982,1993,Resolved,No Access,Gas,27/10/2020 07:00
Case21120,Unit5127,2007,Resolved,No Access,Gas,27/10/2020 07:00
Case21121,Unit9388,1873,Active,No Access,Gas,27/10/2020 07:00
Case21122,Unit3351,2009,Resolved,Complaints,,12/07/2019 09:33
Case21123,Unit9035,1994,Resolved,No Access,Gas,27/10/2020 07:00
Case21124,Unit3121,1986,Resolved,No Access,Gas,27/10/2020 07:00
Case21125,Unit788,2005,Resolved,No Access,Gas,27/10/2020 07:00
Case21126,Unit4841,2008,Resolved,No Access,Gas,27/10/2020 07:00
Case21127,Unit8230,2005,Resolved,No Access,Gas,27/10/2020 07:00
Case21128,Unit8949,2005,Resolved,No Access,Gas,27/10/2020 07:00
Case21129,Unit7257,1970,Resolved,No Access,Gas,27/10/2020 07:00
Case21130,Unit4302,1900,Resolved,No Access,Gas,27/10/2020 07:00
Case21131,Unit6469,1900,Resolved,No Access,Gas,27/10/2020 07:00
Case21132,Unit5552,1900,Resolved,No Access,Gas,27/10/2020 07:00
Case21133,Unit6570,1976,Resolved,No Access,Gas,27/10/2020 07:00
